Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-04-11,222.0,222.5,220.3,220.75,221.1,7654.0,96.0,1692271.0,5126.0,66.97,2.2,-1.25
2019-04-12,221.05,222.55,219.2,220.75,220.49,10588.0,151.0,2334519.0,5859.0,55.34,3.35,-0.3
2019-04-15,227.0,227.0,222.0,224.05,224.35,11892.0,202.0,2667939.0,7059.0,59.36,5.0,-2.95
2019-04-16,224.95,224.95,221.6,222.2,223.0,6916.0,146.0,1542237.0,4151.0,60.02,3.35,-2.75
2019-04-18,224.0,232.7,223.15,230.35,229.26,48063.0,693.0,11018851.0,22833.0,47.51,9.55,6.35
2019-04-22,234.1,239.05,234.1,236.3,236.57,59024.0,987.0,13963131.0,30352.0,51.42,4.95,2.2
2019-04-23,236.9,239.1,236.85,238.45,237.72,47765.0,655.0,11354727.0,26308.0,55.08,2.25,1.55
2019-04-24,238.0,240.5,235.5,239.65,238.1,38836.0,464.0,9246806.0,23986.0,61.76,5.0,1.65
2019-04-25,229.4,229.4,222.8,223.5,226.0,73716.0,912.0,16659834.0,30429.0,41.28,6.6,-5.9
2019-04-26,224.9,224.95,216.95,218.5,218.98,31465.0,993.0,6890130.0,11619.0,36.93,8.0,-6.4
2019-04-30,218.55,218.55,208.05,209.2,210.26,17417.0,676.0,3662088.0,8732.0,50.13,10.5,-9.35
2019-05-02,210.4,211.0,199.05,200.35,202.51,39435.0,806.0,7986061.0,21701.0,55.03,11.95,-10.05
2019-05-03,200.0,200.0,188.0,199.3,197.31,7000.0,212.0,1381169.0,2290.0,32.71,12.0,-0.7
2019-05-06,198.45,227.7,195.9,223.55,218.74,94170.0,2421.0,20598278.0,20014.0,21.25,31.8,25.1
2019-05-07,223.55,223.55,212.0,213.4,217.09,25174.0,751.0,5464947.0,7050.0,28.0,11.55,-10.15
